naive	form
ENSMUSG00000102556	0.269578155714953	0.56395991772661
ENSMUSG00000042501	0.00438416857775088	0
ENSMUSG00000103810	0	0
ENSMUSG00000083422	0.0491689314213824	0.0235516123356664
ENSMUSG00000094979	0	0
ENSMUSG00000081417	0	0
ENSMUSG00000103448	0.00999521038112443	0
ENSMUSG00000100212	0	0
ENSMUSG00000100648	0.180991645976436	0.166815934050832
ENSMUSG00000088585	0	0
ENSMUSG00000048960	2.17882704760006	2.3776756748235
ENSMUSG00000077318	0	0
ENSMUSG00000101827	0	0
ENSMUSG00000103494	0.00632141966190232	0.0101263734105354
ENSMUSG00000057715	1.16128046961076	1.05680023340799
ENSMUSG00000103825	0.386353769016205	0.557764391010713
ENSMUSG00000099845	0	0.112165329524658
ENSMUSG00000103561	0.0179205171198891	0.0744019165327215
ENSMUSG00000101610	0.0189967786050919	0
ENSMUSG00000093864	0	0.320478014586264
ENSMUSG00000098555	0	0
ENSMUSG00000097628	0.430694193733624	0.359841060228809
ENSMUSG00000098163	0	0
ENSMUSG00000097171	0.00600337323516286	0
ENSMUSG00000101314	0	0
ENSMUSG00000016918	4.752815740006	13.4995386263669
ENSMUSG00000025938	1.14125250461078	1.00506695398822
ENSMUSG00000104518	0.0601966886469881	0
ENSMUSG00000069620	1.0582255278885	0.0958693108866575
ENSMUSG00000099498	0.419404415187048	0
ENSMUSG00000042414	15.7831231966068	0.0114615118313028
ENSMUSG00000005886	4.4944092329288	5.10472077511218
ENSMUSG00000103506	0.225673520572189	0.384106318459066
ENSMUSG00000103495	0.303080948452621	0.651872094675868
ENSMUSG00000099183	0	0
ENSMUSG00000102639	0.027641430723052	0.349317736442109
ENSMUSG00000104170	0.254545404917694	0.507914364632747
ENSMUSG00000087782	0	0
ENSMUSG00000103085	0.398601108375756	0.435271802664766
ENSMUSG00000102664	0.472379166385947	0.382839817845021
ENSMUSG00000101476	0	0.241441321984471
ENSMUSG00000101171	0.0854126963156639	0.240083661212554
ENSMUSG00000025935	54.3220411912297	54.0525841568466
ENSMUSG00000025937	51.349098370463	14.6878090658929
ENSMUSG00000102982	2.04407805582263	0.622847169532412
ENSMUSG00000067813	0.269790588205142	0
ENSMUSG00000077368	0	0
ENSMUSG00000097711	0.0826147270499776	0.129131053411773
ENSMUSG00000102166	0	0
ENSMUSG00000089358	0	0
ENSMUSG00000104209	0	0
ENSMUSG00000025932	0.869853681717672	0.398924507234848
ENSMUSG00000095853	0	0
ENSMUSG00000102588	0.0683091413936584	0.0701003389399022
ENSMUSG00000054493	0.235823601686879	0.157546619439029
ENSMUSG00000025930	1.77803114480642	0.484151724254975
ENSMUSG00000103492	0.0113859077584673	0.0226729024431661
ENSMUSG00000081201	0	0.10685433609242
ENSMUSG00000082193	0.325554745828041	0.388183447392185
ENSMUSG00000032769	0.79703062721292	0.95779205504578
ENSMUSG00000088159	0	0
ENSMUSG00000073737	0	0
ENSMUSG00000092083	0.00504844140229986	0.0121332801949453
ENSMUSG00000102937	0	0.0223686546384411
ENSMUSG00000104149	0	0.0140676478388991
ENSMUSG00000088829	0	0
ENSMUSG00000077377	0	0
ENSMUSG00000101652	0.185545421490284	0.136618117771834
ENSMUSG00000100814	0	0
ENSMUSG00000025925	34.3443965477706	27.2161910218876
ENSMUSG00000104379	0.635519697899772	0.757731596687911
ENSMUSG00000032719	0.0397285056651999	0.115592680361409
ENSMUSG00000088943	0	0
ENSMUSG00000100652	0.835208935000147	0.770403955037634
ENSMUSG00000067795	0	0.138384830043325
ENSMUSG00000043716	225.39749887917	211.423516505445
ENSMUSG00000025921	1.58933596831436	4.19695688241564
ENSMUSG00000104165	0.0129201693545093	0
ENSMUSG00000100868	0	0
ENSMUSG00000025920	1.37034913829469	4.03218116393583
ENSMUSG00000089982	0	0
ENSMUSG00000025939	5.41846904727549	5.0897086651671
ENSMUSG00000102457	0.0606590260796987	0.104482591257962
ENSMUSG00000079658	31.5388941752634	37.8306497381766
ENSMUSG00000097744	0.0167044120495198	0.0584773342224778
ENSMUSG00000100959	0	0
ENSMUSG00000025940	12.996229211288	17.063585765882
ENSMUSG00000025779	0.255423836924839	0.205554761729376
ENSMUSG00000100093	0	0
ENSMUSG00000091020	0.70995150746104	0.4987544445835
ENSMUSG00000101640	0	0.73149806961101
ENSMUSG00000104133	0	0
ENSMUSG00000042686	0.889317750709195	10.301931048816
ENSMUSG00000100110	0	0.081858819875934
ENSMUSG00000025777	0.0319989926465774	0.0637988552319383
ENSMUSG00000099899	0	0
ENSMUSG00000100272	0.0791232534876413	0
ENSMUSG00000100398	0.575348847922788	0
ENSMUSG00000101589	0.0870129809187313	0.119952103501847
ENSMUSG00000102048	0.237726868957445	0.0604677290853093
ENSMUSG00000089534	0	0
ENSMUSG00000067780	0.015890734198263	0.0183962050834004
ENSMUSG00000100053	0	0
ENSMUSG00000085125	0.0042893926991931	0.0642230110665343
ENSMUSG00000025776	0.21047123823059	1.39260253217859
ENSMUSG00000099895	0	0
ENSMUSG00000100554	0	0.0920254898152522
ENSMUSG00000099473	0	0
ENSMUSG00000099591	0	0.0489740170064234
ENSMUSG00000109887	0	0.313319132435097
ENSMUSG00000102001	0	0
ENSMUSG00000101717	0	0
ENSMUSG00000025774	0	0
ENSMUSG00000070977	0	0.140520770751676
ENSMUSG00000073735	0	0
ENSMUSG00000067773	0	0
ENSMUSG00000101685	0	0
ENSMUSG00000101306	0	0.0338548391579946
ENSMUSG00000088800	0	0
ENSMUSG00000101644	0	0
ENSMUSG00000099433	0	0
ENSMUSG00000089787	0	0
ENSMUSG00000042596	0	0
ENSMUSG00000100720	0.175725519666786	0.0539216813494684
ENSMUSG00000025927	0	0.00463668607375517
ENSMUSG00000100538	0	0
ENSMUSG00000101117	0	0
ENSMUSG00000100204	0.0366726994073142	0.165413841085843
ENSMUSG00000084668	0	0
ENSMUSG00000102597	0	0
ENSMUSG00000043760	0.0606110154195577	0.113724859254759
ENSMUSG00000104095	0	0
ENSMUSG00000089914	0	0
ENSMUSG00000090142	0	0
ENSMUSG00000070175	0	0
ENSMUSG00000099906	0	0
ENSMUSG00000065559	0	0
ENSMUSG00000065480	0	0
ENSMUSG00000025929	0	0
ENSMUSG00000041872	0.168411480582993	0.1387656148141
ENSMUSG00000041859	179.806103803212	117.813487876327
ENSMUSG00000099714	0.0139832948754176	0
ENSMUSG00000102121	0	0
ENSMUSG00000088858	0	0
ENSMUSG00000097934	0.0935342317803779	0.0580939253172744
ENSMUSG00000025931	1.941548913235	1.06733656241357
ENSMUSG00000077314	0	0
ENSMUSG00000100929	0.0417190933272335	0
ENSMUSG00000041809	2.1423488281993	0.883759957089305
ENSMUSG00000041779	1.97474637480404	1.94392969582172
ENSMUSG00000099971	0.0303739701872623	0
ENSMUSG00000100819	0.196768118985366	0.105361410035162
ENSMUSG00000025933	3.84084605477457	1.1051423254087
ENSMUSG00000102633	0.0285597267350629	0
ENSMUSG00000025934	2.34111372955446	0.0884209517605104
ENSMUSG00000099343	1.00014605316676	0.0464254602455929
ENSMUSG00000096375	0.0524885091598938	0
ENSMUSG00000025936	0	0
ENSMUSG00000093963	0	0
ENSMUSG00000067750	0	0.0147897918145246
ENSMUSG00000086194	0	0
ENSMUSG00000094436	0	0
ENSMUSG00000041722	0.00987193954394715	0
ENSMUSG00000085507	0	0
ENSMUSG00000094926	0	0
ENSMUSG00000085079	0.00859158960309532	0
ENSMUSG00000085679	0	0
ENSMUSG00000028033	0.0110539068148138	0.343950407637723
ENSMUSG00000104138	0	0.0273650467968159
ENSMUSG00000082935	1.83350567761559	1.78276339345167
ENSMUSG00000103748	0.0228430006858752	0.0375077426106705
ENSMUSG00000099692	0	0
ENSMUSG00000100418	0	0
ENSMUSG00000041670	0.1517489922055	0.151091824533747
ENSMUSG00000097642	0	0
ENSMUSG00000101468	0	0
ENSMUSG00000101227	0	0
ENSMUSG00000073730	0	0
ENSMUSG00000089553	0	0
ENSMUSG00000102766	0	0
ENSMUSG00000065405	0.504154677109386	3.90235175194361
ENSMUSG00000097970	0.660186326141696	1.3520253787377
ENSMUSG00000065567	0	0
ENSMUSG00000100775	0	0.0988217508954762
ENSMUSG00000101226	0	0
ENSMUSG00000026158	2.16505469309453	2.71572806352357
ENSMUSG00000097920	0	0
ENSMUSG00000099503	0	0
ENSMUSG00000026156	0.019337554777892	0.00473759734571341
ENSMUSG00000026155	15.2922567198639	15.2342176437423
ENSMUSG00000026154	16.8993516932085	10.6867411774319
ENSMUSG00000102495	0	0
ENSMUSG00000026153	5.63539651532072	9.79099090456899
ENSMUSG00000102398	0.046987639390416	0.132685531099573
ENSMUSG00000097670	0	0
ENSMUSG00000026147	0.00379060662046589	0.102700453793729
ENSMUSG00000026141	0	0.0184923664574388
ENSMUSG00000077463	0	0
ENSMUSG00000099997	0.27411925590976	0.21297252844546
ENSMUSG00000100131	0	0
ENSMUSG00000067736	0	0
ENSMUSG00000101939	1.45370162713448	1.64667190899711
ENSMUSG00000101111	0	0
ENSMUSG00000100862	0	0
ENSMUSG00000102070	0	0
ENSMUSG00000101249	0	0
ENSMUSG00000073725	1.82010765172809	4.19419544454038
ENSMUSG00000100808	0	0
ENSMUSG00000100483	0	0
ENSMUSG00000100450	0.0203237594635358	0
ENSMUSG00000099392	0	0
ENSMUSG00000033569	0.0156676249028545	0.235314638374726
ENSMUSG00000080849	0	0
ENSMUSG00000104257	0	0.0410563919382273
ENSMUSG00000096866	0	0
ENSMUSG00000102296	0	0
ENSMUSG00000103209	0	0.0458115193543363
ENSMUSG00000104027	0	0.0275131117654552
ENSMUSG00000102407	0	0.0494380424340405
ENSMUSG00000103214	0.00965787860605992	0.164034517208722
ENSMUSG00000104100	0.014299017744569	0.0285740805132486
ENSMUSG00000084740	0	0
